id,date,wakeUpTime,sleepTime,breakfast,lunch,dinner,workout,study,reading,other,createdAt,customFields
3,2025-05-30,07:30,01:30,"スタバのモッツァレラチーズと生ハムのやつ","","","","","○","昨晩割と寝る前に牛肉もヤスの夕食を食べたから、低血圧で目覚めが悪かった。が、頑張って朝活した。","2025-05-30 02:28:44",[]
4,2025-05-29,"","","","","","","","","あああ","2025-05-30 02:30:34",[]
5,2025-05-28,"","","","","","","","","なあああああ","2025-05-30 02:30:45",[]
6,2025-05-28,"","","","","","","","","なあああああ","2025-05-30 06:41:01",[]
7,2025-05-28,"","","","","","","","","なあああああ","2025-05-30 06:41:13","[{""key"":""挨拶"",""value"":""こんにちは""}]"
8,2025-06-02,09:30,23:30,"プロテイン、小麦が多い佐野ラーメン","","","","×","","朝活はしていない。","2025-06-02 03:13:43","[{""key"":""朝活"",""value"":""無""}]"
9,2025-06-02,09:30,23:30,"プロテイン、小麦が多い佐野ラーメン","","つけ麺","○","×","×","朝活はしていない。ランニングでラスト１本のタイムが4分切った。","2025-06-03 01:57:55","[{""key"":""朝活"",""value"":""無""}]"
11,2025-06-03,08:15,03:00,"カップ麺","スーパーのお寿司","焼肉ももとアスパラエリンギ","○","×","○","妻が妊娠検査に行った。胎児は手足が見えるくらいの大きさにはなっているとのこと。妻自身も、非常に軽微だがつわりが弱まっているように思う。","2025-06-03 16:30:15",[]
12,2025-06-04,07:15,01:30,-,"シェレンバウム","牛タン","○","×","○","朝活したよ。車の頭金の支払いと印鑑証明の発行とかした。銀行の融資手続きも早めてもらったけど、全体MTGと時間が被ったのでリスケ必須。夜中に牛タンを食べたくなってトライアルに。途中自転車のタイヤをパンクさせた人にあった。声をかけたけどできることもなかったのですぐその場を立ち去った。青唐辛子の何味噌だっけか、あれはなかった。","2025-06-04 23:37:41",[]
13,2025-06-05,07:20,03:00,"スタバのチーズ生ハム","","","×","×","○","朝活。激眠だったけど頑張った。今日のスケジュール直さないと。","2025-06-04 23:38:48",[]
